experiment-id,analyser-qos,instancecount,publisher-qos,delay,nconnected-clients,avg-heap-size,max-heap-size,npub-msg-recv,npub-msg-sent,npub-msg-dropped
experiment0-1-0-0,0,1,0,0,6,52666,60832,22491,22522,0
experiment0-1-0-1,0,1,0,1,0,59144,61280,42564,42621,0
experiment0-1-0-2,0,1,0,2,0,59352,61520,54068,54149,0
experiment0-1-0-4,0,1,0,4,0,59576,61712,64145,64252,0
experiment0-1-1-0,0,1,1,0,0,60504,62744,82936,83067,0
experiment0-1-1-1,0,1,1,1,0,60728,62864,102197,102354,0
experiment0-1-1-2,0,1,1,2,0,60936,63072,113355,113536,0
experiment0-1-1-4,0,1,1,4,0,61160,63344,123937,124144,0
experiment0-1-2-0,0,1,2,0,0,62460,64224,150485,150718,0
experiment0-1-2-1,0,1,2,1,0,62684,67576,166911,167166,0
experiment0-1-2-2,0,1,2,2,0,62892,0,182839,183122,0
experiment0-1-2-4,0,1,2,4,0,63116,0,191094,191402,0
experiment0-2-0-0,0,2,0,0,0,64392,0,249393,249727,0
experiment0-2-0-1,0,2,0,1,0,64616,0,284787,285144,0
experiment0-2-0-2,0,2,0,2,0,64824,0,319752,320134,0
experiment0-2-0-4,0,2,0,4,0,65048,0,340322,340729,0
experiment0-2-1-0,0,2,1,0,0,65976,68272,391712,392143,0
experiment0-2-1-1,0,2,1,1,0,66200,68552,434968,435425,0
experiment0-2-1-2,0,2,1,2,0,66408,68648,461824,462305,0
experiment0-2-1-4,0,2,1,4,0,66632,68768,482856,483363,0
experiment0-2-2-0,0,2,2,0,0,68304,69944,525774,526305,0
experiment0-2-2-1,0,2,2,1,0,68466,76520,568477,569037,0
experiment0-2-2-2,0,2,2,2,0,68388,0,599353,599944,0
experiment0-2-2-4,0,2,2,4,0,68588,0,616591,617205,0
experiment0-3-0-0,0,3,0,0,0,69864,0,687873,688513,0
experiment0-3-0-1,0,3,0,1,0,70088,0,738403,739066,0
experiment0-3-0-2,0,3,0,2,0,70296,0,785674,786362,0
experiment0-3-0-4,0,3,0,4,0,70520,0,810584,811295,0
experiment0-3-1-0,0,3,1,0,0,71448,0,897493,898229,0
experiment0-3-1-1,0,3,1,1,0,71672,0,946736,947495,0
experiment0-3-1-2,0,3,1,2,0,71880,0,996604,997388,0
experiment0-3-1-4,0,3,1,4,0,72104,0,1028072,1028881,0
experiment0-3-2-0,0,3,2,0,0,73528,83504,1110822,1111655,0
experiment0-3-2-1,0,3,2,1,0,74099,0,1165416,1166277,0
experiment0-3-2-2,0,3,2,2,0,74208,0,1199583,1200470,0
experiment0-3-2-4,0,3,2,4,0,74283,0,1228573,1229488,0
experiment0-4-0-0,0,4,0,0,0,75336,0,1288152,1289093,0
experiment0-4-0-1,0,4,0,1,0,75560,0,1358885,1359851,0
experiment0-4-0-2,0,4,0,2,0,75768,0,1405998,1406987,0
experiment0-4-0-4,0,4,0,4,0,75992,0,1445261,1446275,0
experiment0-4-1-0,0,4,1,0,0,76920,0,1514849,1515888,0
experiment0-4-1-1,0,4,1,1,0,77144,0,1572668,1573730,0
experiment0-4-1-2,0,4,1,2,0,77352,0,1628948,1630035,0
experiment0-4-1-4,0,4,1,4,0,77576,0,1659471,1660581,0
experiment0-4-2-0,0,4,2,0,0,79165,94432,1740972,1742112,0
experiment0-4-2-1,0,4,2,1,0,79174,0,1805027,1806197,0
experiment0-4-2-2,0,4,2,2,0,79494,0,1851203,1852397,0
experiment0-4-2-4,0,4,2,4,0,79780,0,1888800,1890024,0
experiment0-5-0-0,0,5,0,0,0,80808,0,1965333,1966582,0
experiment0-5-0-1,0,5,0,1,0,81032,0,2051259,2052533,0
experiment0-5-0-2,0,5,0,2,0,81240,0,2109176,2110473,0
experiment0-5-0-4,0,5,0,4,0,81464,0,2156227,2157549,0
experiment0-5-1-0,0,5,1,0,0,82392,0,2233654,2234999,0
experiment0-5-1-1,0,5,1,1,0,82616,0,2318434,2319804,0
experiment0-5-1-2,0,5,1,2,0,82824,0,2387892,2389287,0
experiment0-5-1-4,0,5,1,4,0,83048,0,2425514,2426932,0
experiment0-5-2-0,0,5,2,0,0,85116,101392,2530981,2532423,0
experiment0-5-2-1,0,5,2,1,0,84944,0,2598822,2600292,0
experiment0-5-2-2,0,5,2,2,0,85052,0,2666567,2668066,0
experiment0-5-2-4,0,5,2,4,0,85326,0,2704681,2706205,0
experiment1-1-0-0,1,1,0,0,0,84632,0,2726012,2727566,0
experiment1-1-0-1,1,1,0,1,0,0,0,2741805,2743383,0
experiment1-1-0-2,1,1,0,2,0,0,0,2752053,2753653,0
experiment1-1-0-4,1,1,0,4,0,0,0,2761297,2762921,0
experiment1-1-1-0,1,1,1,0,0,84928,0,2773794,2775441,0
experiment1-1-1-1,1,1,1,1,0,0,0,2789707,2791378,0
experiment1-1-1-2,1,1,1,2,0,0,0,2800392,2802085,0
experiment1-1-1-4,1,1,1,4,0,0,0,2809525,2811242,0
experiment1-1-2-0,1,1,2,0,0,84929,0,2825459,2827205,0
experiment1-1-2-1,1,1,2,1,0,84880,0,2837793,2839561,0
experiment1-1-2-2,1,1,2,2,0,0,0,2850552,2852344,0
experiment1-1-2-4,1,1,2,4,0,0,0,2857834,2859648,0
experiment1-2-0-0,1,2,0,0,0,84632,0,2895269,2897109,0
experiment1-2-0-1,1,2,0,1,0,0,0,2925132,2926994,0
experiment1-2-0-2,1,2,0,2,0,0,0,2953106,2954992,0
experiment1-2-0-4,1,2,0,4,0,0,0,2971707,2973617,0
experiment1-2-1-0,1,2,1,0,0,85076,0,3000461,3002395,0
experiment1-2-1-1,1,2,1,1,0,85224,0,3035894,3037853,0
experiment1-2-1-2,1,2,1,2,0,85076,0,3058190,3060173,0
experiment1-2-1-4,1,2,1,4,0,85076,0,3077199,3079210,0
experiment1-2-2-0,1,2,2,0,0,84962,0,3108776,3110811,0
experiment1-2-2-1,1,2,2,1,0,86134,0,3142432,3144496,0
experiment1-2-2-2,1,2,2,2,0,84962,0,3169104,3171199,0
experiment1-2-2-4,1,2,2,4,0,84962,0,3184114,3186233,0
experiment1-3-0-0,1,3,0,0,0,84632,0,3237079,3239224,0
experiment1-3-0-1,1,3,0,1,0,0,0,3281598,3283765,0
experiment1-3-0-2,1,3,0,2,0,0,0,3324428,3326619,0
experiment1-3-0-4,1,3,0,4,0,0,0,3347112,3349325,0
experiment1-3-1-0,1,3,1,0,0,85520,0,3394905,3397145,0
experiment1-3-1-1,1,3,1,1,0,85164,0,3438938,3441205,0
experiment1-3-1-2,1,3,1,2,0,85125,0,3482311,3484605,0
experiment1-3-1-4,1,3,1,4,0,85283,0,3510103,3512426,0
experiment1-3-2-0,1,3,2,0,0,85376,0,3563862,3566208,0
experiment1-3-2-1,1,3,2,1,0,85177,0,3614658,3617034,0
experiment1-3-2-2,1,3,2,2,0,85190,0,3648157,3650558,0
experiment1-3-2-4,1,3,2,4,0,85045,0,3677173,3679602,0
experiment1-4-0-0,1,4,0,0,0,84632,0,3733477,3735931,0
experiment1-4-0-1,1,4,0,1,0,0,0,3804176,3806654,0
experiment1-4-0-2,1,4,0,2,0,0,0,3813159,3815651,0
experiment1-4-0-4,1,4,0,4,0,0,0,0,0,0
experiment1-4-1-0,1,4,1,0,0,0,0,0,0,0
experiment1-4-1-1,1,4,1,1,0,0,0,0,0,0
experiment1-4-1-2,1,4,1,2,0,0,0,0,0,0
experiment1-4-1-4,1,4,1,4,0,0,0,0,0,0
experiment1-4-2-0,1,4,2,0,0,0,0,0,0,0
experiment1-4-2-1,1,4,2,1,0,0,0,0,0,0
experiment1-4-2-2,1,4,2,2,0,0,0,0,0,0
experiment1-4-2-4,1,4,2,4,0,0,0,0,0,0
experiment1-5-0-0,1,5,0,0,0,0,0,0,0,0
experiment1-5-0-1,1,5,0,1,0,0,0,0,0,0
experiment1-5-0-2,1,5,0,2,0,0,0,0,0,0
experiment1-5-0-4,1,5,0,4,0,0,0,0,0,0
experiment1-5-1-0,1,5,1,0,0,0,0,0,0,0
experiment1-5-1-1,1,5,1,1,0,0,0,0,0,0
experiment1-5-1-2,1,5,1,2,0,0,0,0,0,0
experiment1-5-1-4,1,5,1,4,0,0,0,0,0,0
experiment1-5-2-0,1,5,2,0,0,0,0,0,0,0
experiment1-5-2-1,1,5,2,1,0,0,0,0,0,0
experiment1-5-2-2,1,5,2,2,0,0,0,0,0,0
experiment1-5-2-4,1,5,2,4,0,0,0,0,0,0
experiment2-1-0-0,2,1,0,0,0,0,0,0,0,0
experiment2-1-0-1,2,1,0,1,0,0,0,0,0,0
experiment2-1-0-2,2,1,0,2,0,0,0,0,0,0
experiment2-1-0-4,2,1,0,4,0,0,0,0,0,0
experiment2-1-1-0,2,1,1,0,0,0,0,0,0,0
experiment2-1-1-1,2,1,1,1,0,0,0,0,0,0
experiment2-1-1-2,2,1,1,2,0,0,0,0,0,0
experiment2-1-1-4,2,1,1,4,0,0,0,0,0,0
experiment2-1-2-0,2,1,2,0,0,0,0,0,0,0
experiment2-1-2-1,2,1,2,1,0,0,0,0,0,0
experiment2-1-2-2,2,1,2,2,0,0,0,0,0,0
experiment2-1-2-4,2,1,2,4,0,0,0,0,0,0
experiment2-2-0-0,2,2,0,0,0,0,0,0,0,0
experiment2-2-0-1,2,2,0,1,0,0,0,0,0,0
experiment2-2-0-2,2,2,0,2,0,0,0,0,0,0
experiment2-2-0-4,2,2,0,4,0,0,0,0,0,0
experiment2-2-1-0,2,2,1,0,0,0,0,0,0,0
experiment2-2-1-1,2,2,1,1,0,0,0,0,0,0
experiment2-2-1-2,2,2,1,2,0,0,0,0,0,0
experiment2-2-1-4,2,2,1,4,0,0,0,0,0,0
experiment2-2-2-0,2,2,2,0,0,0,0,0,0,0
experiment2-2-2-1,2,2,2,1,0,0,0,0,0,0
experiment2-2-2-2,2,2,2,2,0,0,0,0,0,0
experiment2-2-2-4,2,2,2,4,0,0,0,0,0,0
experiment2-3-0-0,2,3,0,0,0,0,0,0,0,0
experiment2-3-0-1,2,3,0,1,0,0,0,0,0,0
experiment2-3-0-2,2,3,0,2,0,0,0,0,0,0
experiment2-3-0-4,2,3,0,4,0,0,0,0,0,0
experiment2-3-1-0,2,3,1,0,0,0,0,0,0,0
experiment2-3-1-1,2,3,1,1,0,0,0,0,0,0
experiment2-3-1-2,2,3,1,2,0,0,0,0,0,0
experiment2-3-1-4,2,3,1,4,0,0,0,0,0,0
experiment2-3-2-0,2,3,2,0,0,0,0,0,0,0
experiment2-3-2-1,2,3,2,1,0,0,0,0,0,0
experiment2-3-2-2,2,3,2,2,0,0,0,0,0,0
experiment2-3-2-4,2,3,2,4,0,0,0,0,0,0
experiment2-4-0-0,2,4,0,0,0,0,0,0,0,0
experiment2-4-0-1,2,4,0,1,0,0,0,0,0,0
experiment2-4-0-2,2,4,0,2,0,0,0,0,0,0
experiment2-4-0-4,2,4,0,4,0,0,0,0,0,0
experiment2-4-1-0,2,4,1,0,0,0,0,0,0,0
experiment2-4-1-1,2,4,1,1,0,0,0,0,0,0
experiment2-4-1-2,2,4,1,2,0,0,0,0,0,0
experiment2-4-1-4,2,4,1,4,0,0,0,0,0,0
experiment2-4-2-0,2,4,2,0,0,0,0,0,0,0
experiment2-4-2-1,2,4,2,1,0,0,0,0,0,0
experiment2-4-2-2,2,4,2,2,0,0,0,0,0,0
experiment2-4-2-4,2,4,2,4,0,0,0,0,0,0
experiment2-5-0-0,2,5,0,0,0,0,0,0,0,0
experiment2-5-0-1,2,5,0,1,0,0,0,0,0,0
experiment2-5-0-2,2,5,0,2,0,0,0,0,0,0
experiment2-5-0-4,2,5,0,4,0,0,0,0,0,0
experiment2-5-1-0,2,5,1,0,0,0,0,0,0,0
experiment2-5-1-1,2,5,1,1,0,0,0,0,0,0
experiment2-5-1-2,2,5,1,2,0,0,0,0,0,0
experiment2-5-1-4,2,5,1,4,0,0,0,0,0,0
experiment2-5-2-0,2,5,2,0,0,0,0,0,0,0
experiment2-5-2-1,2,5,2,1,0,0,0,0,0,0
experiment2-5-2-2,2,5,2,2,0,0,0,0,0,0
experiment2-5-2-4,2,5,2,4,0,0,0,0,0,0
